scenario,year,date_conducted,date_published,pollster,geography,mode,sample_size,population_surveyed,sponsor,cc_poll_share,dgm_poll_share,pdal_poll_share,ssp_poll_share,undecided_poll_share
A,2024,2024-06-06,2024-06-07,Metaflux University,Infinitron Peninsula,IVR,1500,RV,None,0.503,0.141,0.282,0,0.073
A,2024,2024-06-06,2024-06-07,Dataland Daily,National,Online,200,Adults,None,0.17,0.27,0.38,0.11,0.07
A,2024,2024-06-06,2024-06-07,Big Dataland Surveys,National,Online,10000,RV,None,0.241,0.26,0.368,0.071,0.059
A,2024,2024-06-05,2024-06-07,Proudly Paid For Polling,Cortexia,Online,1000,LV,PDAL,0.151,0.193,0.285,0.325,0.046
A,2024,2024-06-05,2024-06-07,Progressive Polling,Electropolis,Live caller,1000,LV,PDAL,0.355,0.22,0.378,0,0.047
A,2024,2024-06-05,2024-06-07,Dataland Daily,National,Online,200,Adults,None,0.215,0.285,0.29,0.11,0.1
A,2024,2024-06-05,2024-06-07,Synapse Strategies,Neuronia,Online,1000,LV,SSP,0.032,0.146,0.088,0.693,0.041
A,2024,2024-06-05,2024-06-07,Dataland Register-Gazette,Synapse Territories,Live caller,1500,LV,None,0.19,0.234,0.226,0.3,0.05
A,2024,2024-06-07,2024-06-08,No Province Left Behind,Binaryshire,IVR,500,LV,None,0.88,0.006,0.082,0,0.032
A,2024,2024-06-07,2024-06-08,Progressive Polling,Cortexia,Live caller,1000,LV,None,0.122,0.249,0.218,0.375,0.036
A,2024,2024-06-06,2024-06-08,Metaflux University,Infoglen,IVR,1500,RV,None,0.433,0.201,0.288,0,0.077
A,2024,2024-06-08,2024-06-09,Proudly Paid For Polling,Circuit Confederation,Online,1000,LV,CC,0.289,0.256,0.423,0,0.032
A,2024,2024-06-08,2024-06-09,Dataland Daily,National,Online,200,Adults,None,0.235,0.23,0.35,0.05,0.135
A,2024,2024-06-08,2024-06-09,Cobolite Coalition Calling,Voltagea,IVR,2000,RV,CC,0.198,0.294,0.444,0,0.064
A,2024,2024-06-07,2024-06-09,Electropolis Elects,Electropolis,Live caller,1000,LV,None,0.34,0.287,0.327,0,0.046
A,2024,2024-06-07,2024-06-09,Dataland Daily,National,Online,200,Adults,None,0.29,0.22,0.275,0.105,0.11
A,2024,2024-06-09,2024-06-10,Proudly Paid For Polling,Infoglen,Online,1000,LV,PDAL,0.344,0.258,0.36,0,0.038
A,2024,2024-06-08,2024-06-10,Progressive Polling,Cortexia,Live caller,1000,LV,None,0.158,0.207,0.226,0.355,0.054
A,2024,2024-06-10,2024-06-11,Proudly Paid For Polling,Circuiton,Online,1000,LV,DGM,0.12,0.418,0.418,0,0.044
A,2024,2024-06-10,2024-06-11,Big Dataland Surveys,Metaflux Realm,Online,10000,RV,None,0.413,0.233,0.289,0,0.065
A,2024,2024-06-10,2024-06-11,Dataland Daily,National,Online,200,Adults,None,0.225,0.285,0.34,0.08,0.07
A,2024,2024-06-09,2024-06-11,Dataland Daily,National,Online,200,Adults,None,0.22,0.255,0.33,0.055,0.14
A,2024,2024-06-10,2024-06-12,Cobolite Coalition Calling,Binaryshire,IVR,2000,RV,CC,0.87,0.013,0.066,0,0.052
A,2024,2024-06-10,2024-06-12,Dataland Register-Gazette,National,Live caller,1500,LV,None,0.285,0.223,0.365,0.081,0.046
A,2024,2024-06-10,2024-06-12,Cobolite Coalition Calling,Neuronia,IVR,2000,RV,CC,0.044,0.248,0.095,0.558,0.056
A,2024,2024-06-12,2024-06-13,Dataland Daily,National,Online,200,Adults,None,0.285,0.23,0.315,0.045,0.125
A,2024,2024-06-11,2024-06-13,Progressive Polling,Byteforge Domain,Live caller,1000,LV,PDAL,0.323,0.067,0.551,0,0.059
A,2024,2024-06-11,2024-06-13,Metaflux University,Infoglen,IVR,1500,RV,None,0.415,0.278,0.233,0,0.073
A,2024,2024-06-11,2024-06-13,Dataland Daily,National,Online,200,Adults,None,0.23,0.265,0.32,0.05,0.135
A,2024,2024-06-13,2024-06-14,Dataland Register-Gazette,Cortexia,Live caller,1500,LV,None,0.174,0.207,0.237,0.349,0.034
A,2024,2024-06-13,2024-06-14,Progressive Polling,Cortexia,Live caller,1000,LV,None,0.152,0.202,0.263,0.343,0.04
A,2024,2024-06-13,2024-06-14,Dataland Daily,National,Online,200,Adults,None,0.19,0.28,0.315,0.08,0.135
A,2024,2024-06-12,2024-06-14,Big Dataland Surveys,Circuit Confederation,Online,10000,RV,None,0.225,0.314,0.399,0,0.061
A,2024,2024-06-12,2024-06-14,Cobolite Coalition Calling,Neuronia,IVR,2000,RV,CC,0.063,0.176,0.071,0.628,0.061
A,2024,2024-06-12,2024-06-14,Metaflux University,Quantumridge,IVR,1500,RV,None,0.223,0.299,0.412,0,0.067
A,2024,2024-06-14,2024-06-15,Electropolis Elects,Electropolis,Live caller,1000,LV,None,0.335,0.273,0.349,0,0.043
A,2024,2024-06-14,2024-06-15,Dataland Register-Gazette,Metaflux Realm,Live caller,1500,LV,None,0.419,0.219,0.324,0,0.038
A,2024,2024-06-14,2024-06-15,Dataland Daily,National,Online,200,Adults,None,0.27,0.19,0.41,0.055,0.075
A,2024,2024-06-14,2024-06-15,Big Dataland Surveys,National,Online,10000,RV,None,0.22,0.261,0.398,0.068,0.053
A,2024,2024-06-13,2024-06-15,Proudly Paid For Polling,Metaflux Realm,Online,1000,LV,CC,0.457,0.218,0.278,0,0.047
A,2024,2024-06-14,2024-06-16,Synapse Strategies,Cerebrica,Online,1000,LV,SSP,0.319,0.293,0.252,0.096,0.04
A,2024,2024-06-14,2024-06-16,Synapse Strategies,Cortexia,Online,1000,LV,None,0.155,0.224,0.242,0.357,0.022
A,2024,2024-06-14,2024-06-16,Dataland Register-Gazette,National,Live caller,1500,LV,None,0.267,0.263,0.371,0.068,0.031
A,2024,2024-06-14,2024-06-16,Synapse Strategies,Neuronia,Online,1000,LV,SSP,0.043,0.184,0.068,0.677,0.028
A,2024,2024-06-14,2024-06-16,Synapse Strategies,Synapse Territories,Online,1000,LV,SSP,0.193,0.238,0.195,0.349,0.025
B,2024,2024-04-02,2024-04-03,Dataland Daily,National,Online,200,Adults,None,0.28,0.205,0.32,0.045,0.15
B,2024,2024-04-02,2024-04-04,Cobolite Coalition Calling,Cortexia,IVR,2000,RV,CC,0.182,0.177,0.174,0.299,0.169
B,2024,2024-04-04,2024-04-05,Dataland Daily,National,Online,200,Adults,None,0.2,0.235,0.275,0.05,0.24
B,2024,2024-04-03,2024-04-05,Dataland Daily,National,Online,200,Adults,None,0.245,0.19,0.315,0.065,0.185
B,2024,2024-04-06,2024-04-07,Dataland Daily,National,Online,200,Adults,None,0.305,0.23,0.24,0.045,0.18
B,2024,2024-04-05,2024-04-07,Dataland Daily,National,Online,200,Adults,None,0.285,0.18,0.335,0.05,0.15
B,2024,2024-04-07,2024-04-08,Cobolite Coalition Calling,Byteforge Domain,IVR,2000,RV,None,0.418,0.063,0.383,0,0.136
B,2024,2024-04-07,2024-04-08,Dataland Daily,National,Online,200,Adults,None,0.285,0.195,0.32,0.03,0.17
B,2024,2024-04-07,2024-04-08,Big Dataland Surveys,National,Online,10000,RV,None,0.266,0.202,0.282,0.061,0.189
B,2024,2024-04-06,2024-04-08,No Province Left Behind,Quantumridge,IVR,500,RV,None,0.138,0.268,0.462,0,0.132
B,2024,2024-04-08,2024-04-10,Dataland Daily,National,Online,200,Adults,None,0.21,0.22,0.285,0.05,0.235
B,2024,2024-04-09,2024-04-11,Cobolite Coalition Calling,Infinitron Peninsula,IVR,2000,RV,CC,0.576,0.136,0.131,0,0.157
B,2024,2024-04-09,2024-04-11,Dataland Daily,National,Online,200,Adults,None,0.375,0.185,0.235,0.075,0.13
B,2024,2024-04-11,2024-04-12,Dataland Daily,National,Online,200,Adults,None,0.25,0.22,0.255,0.11,0.165
B,2024,2024-04-10,2024-04-12,Dataland Daily,National,Online,200,Adults,None,0.325,0.16,0.255,0.085,0.175
B,2024,2024-04-12,2024-04-13,Dataland Daily,National,Online,200,Adults,None,0.21,0.215,0.3,0.055,0.22
B,2024,2024-04-11,2024-04-13,Cobolite Coalition Calling,Quantumridge,IVR,2000,RV,None,0.184,0.23,0.421,0,0.165
B,2024,2024-04-12,2024-04-14,Cobolite Coalition Calling,Byteforge Domain,IVR,2000,RV,CC,0.445,0.048,0.327,0,0.18
B,2024,2024-04-12,2024-04-14,Synapse Strategies,Cortexia,Online,1000,RV,None,0.138,0.18,0.234,0.329,0.119
B,2024,2024-04-12,2024-04-14,No Province Left Behind,Quantumridge,IVR,500,RV,None,0.206,0.196,0.452,0,0.146
B,2024,2024-04-14,2024-04-15,Progressive Polling,Byteforge Domain,Live caller,1000,Adults,PDAL,0.405,0.058,0.411,0,0.126
B,2024,2024-04-14,2024-04-15,Dataland Daily,National,Online,200,Adults,None,0.205,0.29,0.275,0.055,0.175
B,2024,2024-04-13,2024-04-15,Dataland Daily,National,Online,200,Adults,None,0.24,0.205,0.275,0.075,0.205
B,2024,2024-04-16,2024-04-17,Dataland Daily,National,Online,200,Adults,None,0.275,0.17,0.34,0.07,0.145
B,2024,2024-04-15,2024-04-17,Cobolite Coalition Calling,Byteforge Domain,IVR,2000,RV,CC,0.457,0.044,0.328,0,0.171
B,2024,2024-04-15,2024-04-17,Dataland Daily,National,Online,200,Adults,None,0.295,0.19,0.275,0.055,0.185
B,2024,2024-04-17,2024-04-18,Dataland Daily,National,Online,200,Adults,None,0.2,0.16,0.33,0.065,0.245
B,2024,2024-04-17,2024-04-18,Big Dataland Surveys,National,Online,10000,RV,None,0.284,0.217,0.276,0.066,0.156
B,2024,2024-04-17,2024-04-18,Synapse Strategies,Neuronia,Online,1000,RV,SSP,0.031,0.112,0.077,0.636,0.144
B,2024,2024-04-17,2024-04-19,Big Dataland Surveys,Circuit Confederation,Online,10000,RV,None,0.235,0.25,0.339,0,0.176
C,2024,2024-04-02,2024-04-03,Dataland Daily,National,Online,200,Adults,None,0.175,0.25,0.225,0.065,0.285
C,2024,2024-04-03,2024-04-04,Progressive Polling,Cortexia,Live caller,1000,Adults,None,0.1,0.195,0.265,0.304,0.136
C,2024,2024-04-03,2024-04-04,Dataland Daily,National,Online,200,Adults,None,0.235,0.245,0.265,0.06,0.195
C,2024,2024-04-02,2024-04-04,Cobolite Coalition Calling,Infoglen,IVR,2000,RV,CC,0.264,0.287,0.278,0,0.17
C,2024,2024-04-04,2024-04-05,Progressive Polling,Circuiton,Live caller,1000,Adults,None,0.079,0.476,0.306,0,0.139
C,2024,2024-04-05,2024-04-06,Big Dataland Surveys,Metaflux Realm,Online,10000,RV,None,0.231,0.322,0.235,0,0.212
C,2024,2024-04-05,2024-04-06,Dataland Daily,National,Online,200,Adults,None,0.125,0.34,0.25,0.055,0.23
C,2024,2024-04-04,2024-04-06,Dataland Daily,National,Online,200,Adults,None,0.175,0.32,0.25,0.045,0.21
C,2024,2024-04-06,2024-04-07,Progressive Polling,Cortexia,Live caller,1000,Adults,None,0.102,0.268,0.231,0.264,0.135
C,2024,2024-04-06,2024-04-08,Dataland Daily,National,Online,200,Adults,None,0.185,0.255,0.235,0.065,0.26
C,2024,2024-04-06,2024-04-08,Big Dataland Surveys,National,Online,10000,RV,None,0.197,0.343,0.232,0.06,0.168
C,2024,2024-04-08,2024-04-09,Cobolite Coalition Calling,Voltagea,IVR,2000,RV,CC,0.192,0.37,0.299,0,0.139
C,2024,2024-04-07,2024-04-09,Dataland Daily,National,Online,200,Adults,None,0.175,0.325,0.27,0.045,0.185
C,2024,2024-04-08,2024-04-10,Dataland Daily,National,Online,200,Adults,None,0.16,0.32,0.225,0.08,0.215
C,2024,2024-04-08,2024-04-10,Cobolite Coalition Calling,Neuronia,IVR,2000,RV,CC,0.08,0.216,0.114,0.4,0.19
C,2024,2024-04-10,2024-04-11,Dataland Daily,National,Online,200,Adults,None,0.21,0.26,0.265,0.08,0.185
C,2024,2024-04-09,2024-04-11,Dataland Daily,National,Online,200,Adults,None,0.195,0.225,0.33,0.04,0.21
C,2024,2024-04-11,2024-04-12,Progressive Polling,Cortexia,Live caller,1000,Adults,PDAL,0.097,0.203,0.245,0.3,0.155
C,2024,2024-04-11,2024-04-12,Dataland Daily,National,Online,200,Adults,None,0.21,0.28,0.32,0.035,0.155
C,2024,2024-04-11,2024-04-12,Big Dataland Surveys,National,Online,10000,RV,None,0.188,0.328,0.259,0.057,0.168
C,2024,2024-04-11,2024-04-12,Cobolite Coalition Calling,Synapse Territories,IVR,2000,RV,CC,0.152,0.192,0.24,0.232,0.184
C,2024,2024-04-12,2024-04-13,Progressive Polling,Cortexia,Live caller,1000,Adults,None,0.093,0.243,0.22,0.328,0.116
C,2024,2024-04-13,2024-04-14,Synapse Strategies,Synapse Territories,Online,1000,RV,SSP,0.127,0.243,0.191,0.292,0.147
C,2024,2024-04-12,2024-04-14,Dataland Daily,National,Online,200,Adults,None,0.175,0.33,0.25,0.06,0.185
C,2024,2024-04-13,2024-04-15,Progressive Polling,Infoglen,Live caller,1000,Adults,None,0.224,0.386,0.286,0,0.104
C,2024,2024-04-13,2024-04-15,Dataland Daily,National,Online,200,Adults,None,0.205,0.29,0.25,0.05,0.205
C,2024,2024-04-14,2024-04-16,Dataland Daily,National,Online,200,Adults,None,0.105,0.345,0.315,0.06,0.175
C,2024,2024-04-16,2024-04-17,Progressive Polling,Circuiton,Live caller,1000,Adults,None,0.127,0.433,0.314,0,0.126
C,2024,2024-04-16,2024-04-17,Dataland Daily,National,Online,200,Adults,None,0.145,0.285,0.355,0.075,0.14
C,2024,2024-04-15,2024-04-17,Dataland Daily,National,Online,200,Adults,None,0.2,0.35,0.235,0.03,0.185
C,2024,2024-04-17,2024-04-18,Dataland Daily,National,Online,200,Adults,None,0.13,0.365,0.28,0.05,0.175
C,2024,2024-04-18,2024-04-19,Cobolite Coalition Calling,Infinitron Peninsula,IVR,2000,RV,CC,0.401,0.29,0.178,0,0.132
C,2024,2024-04-18,2024-04-20,Metaflux University,Infoglen,IVR,1500,Adults,None,0.197,0.403,0.279,0,0.121
C,2024,2024-04-18,2024-04-20,Dataland Daily,National,Online,200,Adults,None,0.13,0.435,0.22,0.055,0.16
C,2024,2024-04-20,2024-04-21,Dataland Daily,National,Online,200,Adults,None,0.15,0.3,0.275,0.055,0.22
C,2024,2024-04-19,2024-04-21,Dataland Daily,National,Online,200,Adults,None,0.175,0.305,0.255,0.075,0.19
C,2024,2024-04-19,2024-04-21,No Province Left Behind,Quantumridge,IVR,500,RV,None,0.166,0.412,0.322,0,0.1
C,2024,2024-04-22,2024-04-23,Cobolite Coalition Calling,Cortexia,IVR,2000,RV,None,0.172,0.218,0.192,0.255,0.163
C,2024,2024-04-22,2024-04-23,Big Dataland Surveys,Metaflux Realm,Online,10000,RV,None,0.261,0.372,0.244,0,0.124
C,2024,2024-04-22,2024-04-23,Dataland Daily,National,Online,200,Adults,None,0.16,0.31,0.305,0.06,0.165
C,2024,2024-04-22,2024-04-23,No Province Left Behind,National,IVR,500,RV,None,0.194,0.324,0.27,0.05,0.162
C,2024,2024-04-21,2024-04-23,Dataland Daily,National,Online,200,Adults,None,0.21,0.3,0.29,0.05,0.15
C,2024,2024-04-23,2024-04-24,Cobolite Coalition Calling,Amperville,IVR,2000,RV,None,0.064,0.201,0.581,0,0.154
C,2024,2024-04-23,2024-04-24,Conference Board of Dataland,Synapse Territories,Live caller,3000,LV,None,0.141,0.285,0.218,0.24,0.116
C,2024,2024-04-24,2024-04-25,Metaflux University,Infoglen,IVR,1500,Adults,None,0.283,0.329,0.277,0,0.111
C,2024,2024-04-23,2024-04-25,Dataland Daily,National,Online,200,Adults,None,0.145,0.325,0.275,0.09,0.165
C,2024,2024-04-23,2024-04-25,Cobolite Coalition Calling,Synapse Territories,IVR,2000,RV,CC,0.165,0.164,0.167,0.328,0.176
C,2024,2024-04-25,2024-04-26,Metaflux University,Infinitron Peninsula,IVR,1500,Adults,None,0.369,0.417,0.109,0,0.105
C,2024,2024-04-24,2024-04-26,Dataland Daily,National,Online,200,Adults,None,0.19,0.32,0.25,0.045,0.195
C,2024,2024-04-25,2024-04-27,Dataland Daily,National,Online,200,Adults,None,0.185,0.33,0.23,0.075,0.18
C,2024,2024-04-27,2024-04-28,Proudly Paid For Polling,Byteforge Domain,Online,1000,RV,PDAL,0.257,0.155,0.48,0,0.108
C,2024,2024-04-27,2024-04-28,Proudly Paid For Polling,Metaflux Realm,Online,1000,RV,CC,0.331,0.324,0.277,0,0.068
C,2024,2024-04-26,2024-04-28,Progressive Polling,Infoglen,Live caller,1000,Adults,None,0.242,0.394,0.199,0,0.165
C,2024,2024-04-26,2024-04-28,Dataland Daily,National,Online,200,Adults,None,0.225,0.3,0.25,0.055,0.17
C,2024,2024-04-28,2024-04-29,Proudly Paid For Polling,Circuit Confederation,Online,1000,RV,DGM,0.154,0.411,0.258,0,0.177
C,2024,2024-04-28,2024-04-29,Cobolite Coalition Calling,Metaflux Realm,IVR,2000,RV,None,0.369,0.226,0.295,0,0.11
C,2024,2024-04-27,2024-04-29,Dataland Daily,National,Online,200,Adults,None,0.21,0.355,0.27,0.055,0.11
C,2024,2024-04-29,2024-04-30,Dataland Daily,National,Online,200,Adults,None,0.2,0.31,0.3,0.02,0.17
C,2024,2024-04-28,2024-04-30,Metaflux University,Infoglen,IVR,1500,RV,None,0.276,0.405,0.207,0,0.112
C,2024,2024-04-28,2024-04-30,Dataland Daily,National,Online,200,Adults,None,0.135,0.275,0.33,0.065,0.195
C,2024,2024-04-28,2024-04-30,Cobolite Coalition Calling,Synapse Territories,IVR,2000,RV,CC,0.214,0.242,0.128,0.28,0.135
C,2024,2024-04-30,2024-05-01,Dataland Register-Gazette,Circuit Confederation,Live caller,1500,RV,None,0.229,0.275,0.377,0,0.119
C,2024,2024-04-30,2024-05-01,Big Dataland Surveys,Metaflux Realm,Online,10000,RV,None,0.337,0.328,0.21,0,0.125
C,2024,2024-04-30,2024-05-01,Proudly Paid For Polling,National,Online,1000,RV,CC,0.275,0.296,0.267,0.053,0.109
C,2024,2024-04-30,2024-05-01,Synapse Strategies,Synapse Territories,Online,1000,RV,SSP,0.155,0.266,0.214,0.295,0.07
C,2024,2024-04-29,2024-05-01,Big Dataland Surveys,Metaflux Realm,Online,10000,RV,None,0.23,0.348,0.282,0,0.14
C,2024,2024-05-01,2024-05-02,Dataland Register-Gazette,Infoglen,Live caller,1500,RV,None,0.291,0.377,0.221,0,0.111
C,2024,2024-04-30,2024-05-02,Conference Board of Dataland,Circuit Confederation,Live caller,3000,LV,None,0.233,0.317,0.334,0,0.116
C,2024,2024-04-30,2024-05-02,Conference Board of Dataland,Metaflux Realm,Live caller,3000,LV,None,0.33,0.308,0.258,0,0.104
C,2024,2024-04-30,2024-05-02,Dataland Daily,National,Online,200,Adults,None,0.185,0.275,0.29,0.07,0.18
C,2024,2024-04-30,2024-05-02,Conference Board of Dataland,Synapse Territories,Live caller,3000,LV,None,0.19,0.26,0.222,0.241,0.087
C,2024,2024-05-02,2024-05-03,Metaflux University,Infoglen,IVR,1500,RV,None,0.276,0.365,0.227,0,0.132
C,2024,2024-05-02,2024-05-03,Dataland Daily,National,Online,200,Adults,None,0.165,0.32,0.25,0.065,0.2
C,2024,2024-05-01,2024-05-03,Proudly Paid For Polling,Byteforge Domain,Online,1000,RV,CC,0.37,0.149,0.37,0,0.111
C,2024,2024-05-01,2024-05-03,Dataland Register-Gazette,Circuiton,Live caller,1500,RV,None,0.147,0.412,0.325,0,0.115
C,2024,2024-05-01,2024-05-03,Dataland Daily,National,Online,200,Adults,None,0.2,0.245,0.28,0.07,0.205
C,2024,2024-05-03,2024-05-04,Dataland Daily,National,Online,200,Adults,None,0.22,0.31,0.285,0.045,0.14
C,2024,2024-05-02,2024-05-04,Dataland Register-Gazette,Circuit Confederation,Live caller,1500,RV,None,0.223,0.344,0.347,0,0.085
C,2024,2024-05-02,2024-05-04,Proudly Paid For Polling,Infinitron Peninsula,Online,1000,RV,DGM,0.32,0.459,0.126,0,0.095
C,2024,2024-05-02,2024-05-04,No Province Left Behind,Quantumridge,IVR,500,RV,None,0.194,0.364,0.336,0,0.106
C,2024,2024-05-04,2024-05-05,Dataland Daily,National,Online,200,Adults,None,0.205,0.24,0.28,0.065,0.21
C,2024,2024-05-04,2024-05-05,Metaflux University,Quantumridge,IVR,1500,RV,None,0.165,0.338,0.358,0,0.139
C,2024,2024-05-04,2024-05-05,Dataland Register-Gazette,Voltagea,Live caller,1500,RV,None,0.127,0.425,0.354,0,0.095
C,2024,2024-05-03,2024-05-05,No Province Left Behind,Infinitron Peninsula,IVR,500,RV,None,0.396,0.374,0.13,0,0.1
C,2024,2024-05-05,2024-05-06,Dataland Daily,National,Online,200,Adults,None,0.175,0.295,0.3,0.06,0.17
C,2024,2024-05-05,2024-05-06,No Province Left Behind,Quantumridge,IVR,500,RV,None,0.12,0.4,0.374,0,0.106
C,2024,2024-05-05,2024-05-06,Progressive Polling,Voltagea,Live caller,1000,Adults,None,0.105,0.394,0.387,0,0.114
C,2024,2024-05-04,2024-05-06,Progressive Polling,Electropolis,Live caller,1000,Adults,None,0.394,0.274,0.235,0,0.097
C,2024,2024-05-05,2024-05-07,Proudly Paid For Polling,Amperville,Online,1000,RV,DGM,0.057,0.33,0.515,0,0.098
C,2024,2024-05-07,2024-05-08,Cobolite Coalition Calling,Binaryshire,IVR,2000,RV,CC,0.749,0.034,0.106,0,0.111
C,2024,2024-05-07,2024-05-08,Conference Board of Dataland,Circuit Confederation,Live caller,3000,LV,None,0.208,0.319,0.388,0,0.085
C,2024,2024-05-07,2024-05-08,Dataland Daily,National,Online,200,Adults,None,0.195,0.255,0.305,0.045,0.2
C,2024,2024-05-07,2024-05-08,Dataland Register-Gazette,Synapse Territories,Live caller,1500,RV,None,0.144,0.277,0.266,0.229,0.085
C,2024,2024-05-07,2024-05-08,Conference Board of Dataland,Synapse Territories,Live caller,3000,LV,None,0.156,0.255,0.283,0.222,0.084
C,2024,2024-05-06,2024-05-08,Dataland Register-Gazette,Circuit Confederation,Live caller,1500,RV,None,0.224,0.312,0.361,0,0.103
C,2024,2024-05-06,2024-05-08,Cobolite Coalition Calling,Infoglen,IVR,2000,RV,None,0.226,0.338,0.306,0,0.13
C,2024,2024-05-06,2024-05-08,Metaflux University,Infoglen,IVR,1500,RV,None,0.303,0.388,0.171,0,0.138
C,2024,2024-05-06,2024-05-08,Big Dataland Surveys,Metaflux Realm,Online,10000,RV,None,0.284,0.314,0.258,0,0.144
C,2024,2024-05-06,2024-05-08,Dataland Daily,National,Online,200,Adults,None,0.145,0.395,0.22,0.075,0.165
C,2024,2024-05-08,2024-05-09,Cobolite Coalition Calling,Byteforge Domain,IVR,2000,RV,CC,0.358,0.115,0.42,0,0.107
C,2024,2024-05-08,2024-05-09,Dataland Register-Gazette,Circuit Confederation,Live caller,1500,RV,None,0.215,0.347,0.35,0,0.087
C,2024,2024-05-08,2024-05-09,Progressive Polling,Cortexia,Live caller,1000,Adults,None,0.122,0.274,0.253,0.259,0.092
C,2024,2024-05-07,2024-05-09,Conference Board of Dataland,Metaflux Realm,Live caller,3000,LV,None,0.292,0.297,0.313,0,0.098
C,2024,2024-05-09,2024-05-10,Dataland Daily,National,Online,200,Adults,None,0.115,0.345,0.295,0.045,0.2
C,2024,2024-05-08,2024-05-10,Dataland Register-Gazette,Byteforge Domain,Live caller,1500,RV,None,0.272,0.16,0.503,0,0.065
C,2024,2024-05-08,2024-05-10,Dataland Daily,National,Online,200,Adults,None,0.14,0.375,0.315,0.03,0.14
C,2024,2024-05-08,2024-05-10,Dataland Register-Gazette,National,Live caller,1500,RV,None,0.209,0.325,0.33,0.055,0.082
C,2024,2024-05-10,2024-05-11,Proudly Paid For Polling,Infoglen,Online,1000,LV,CC,0.307,0.349,0.238,0,0.106
C,2024,2024-05-10,2024-05-11,Dataland Daily,National,Online,200,Adults,None,0.16,0.33,0.26,0.065,0.185
C,2024,2024-05-10,2024-05-11,Big Dataland Surveys,Synapse Territories,Online,10000,RV,None,0.135,0.282,0.248,0.225,0.109
C,2024,2024-05-09,2024-05-11,Dataland Register-Gazette,Circuit Confederation,Live caller,1500,RV,None,0.193,0.297,0.431,0,0.079
C,2024,2024-05-09,2024-05-11,Proudly Paid For Polling,Electropolis,Online,1000,LV,DGM,0.291,0.367,0.237,0,0.105
C,2024,2024-05-09,2024-05-11,Proudly Paid For Polling,Infoglen,Online,1000,LV,PDAL,0.248,0.38,0.296,0,0.076
C,2024,2024-05-10,2024-05-12,Dataland Register-Gazette,Metaflux Realm,Live caller,1500,RV,None,0.283,0.313,0.329,0,0.075
D,2024,2024-04-03,2024-04-04,Dataland Daily,National,Online,200,Adults,None,0.155,0.29,0.275,0.035,0.245
D,2024,2024-04-02,2024-04-04,Dataland Daily,National,Online,200,Adults,None,0.185,0.235,0.295,0.05,0.235
D,2024,2024-04-05,2024-04-06,Progressive Polling,Circuiton,Live caller,1000,Adults,None,0.046,0.4,0.403,0,0.151
D,2024,2024-04-05,2024-04-06,Big Dataland Surveys,Metaflux Realm,Online,10000,RV,None,0.257,0.291,0.287,0,0.166
D,2024,2024-04-04,2024-04-06,Dataland Daily,National,Online,200,Adults,None,0.175,0.31,0.29,0.04,0.185
D,2024,2024-04-06,2024-04-07,Dataland Daily,National,Online,200,Adults,None,0.16,0.365,0.295,0.025,0.155
D,2024,2024-04-05,2024-04-07,Big Dataland Surveys,Circuit Confederation,Online,10000,RV,None,0.15,0.351,0.347,0,0.153
D,2024,2024-04-05,2024-04-07,Dataland Daily,National,Online,200,Adults,None,0.18,0.275,0.275,0.035,0.235
D,2024,2024-04-05,2024-04-07,Big Dataland Surveys,National,Online,10000,RV,None,0.206,0.31,0.248,0.047,0.188
D,2024,2024-04-07,2024-04-09,Cobolite Coalition Calling,Amperville,IVR,2000,RV,CC,0.059,0.159,0.619,0,0.164
D,2024,2024-04-07,2024-04-09,Dataland Daily,National,Online,200,Adults,None,0.13,0.235,0.35,0.025,0.26
D,2024,2024-04-07,2024-04-09,Big Dataland Surveys,National,Online,10000,RV,None,0.214,0.252,0.267,0.056,0.21
D,2024,2024-04-09,2024-04-10,Dataland Daily,National,Online,200,Adults,None,0.195,0.22,0.37,0.055,0.16
D,2024,2024-04-09,2024-04-10,No Province Left Behind,National,IVR,500,RV,None,0.196,0.318,0.322,0.064,0.1
D,2024,2024-04-09,2024-04-10,Progressive Polling,Voltagea,Live caller,1000,Adults,None,0.078,0.413,0.36,0,0.149
D,2024,2024-04-08,2024-04-10,Progressive Polling,Electropolis,Live caller,1000,Adults,None,0.204,0.251,0.411,0,0.134
D,2024,2024-04-08,2024-04-10,Dataland Daily,National,Online,200,Adults,None,0.155,0.265,0.305,0.025,0.25
D,2024,2024-04-10,2024-04-11,Dataland Daily,National,Online,200,Adults,None,0.17,0.22,0.36,0.05,0.2
D,2024,2024-04-12,2024-04-13,Big Dataland Surveys,National,Online,10000,RV,None,0.171,0.29,0.33,0.054,0.154
D,2024,2024-04-11,2024-04-13,Dataland Daily,National,Online,200,Adults,None,0.145,0.255,0.325,0.045,0.23
D,2024,2024-04-13,2024-04-14,Dataland Daily,National,Online,200,Adults,None,0.195,0.275,0.29,0.03,0.21
D,2024,2024-04-13,2024-04-14,Cobolite Coalition Calling,Voltagea,IVR,2000,RV,None,0.12,0.3,0.37,0,0.21
D,2024,2024-04-12,2024-04-14,Dataland Daily,National,Online,200,Adults,None,0.1,0.315,0.34,0.075,0.17
D,2024,2024-04-14,2024-04-15,Dataland Daily,National,Online,200,Adults,None,0.19,0.22,0.315,0.035,0.24
D,2024,2024-04-13,2024-04-15,Cobolite Coalition Calling,Infinitron Peninsula,IVR,2000,RV,CC,0.396,0.273,0.203,0,0.128
